FY22,FY21,% Change YoY
42.44,39.90,6.4%
562.00,551.35,1.9%
32.81,31.45,4.3%
725.04,689.82,5.1%
31.86%,32.37%,0.5ppt
28.38,27.52,3.1%
248.91,257.72,(3.4%)
"262,004","247,869",5.7%
30.53,28.31,7.8%
305.37,256.74,18.9%
20.25,17.36,16.6%
25.22,23.77,6.1%
17.60,16.71,5.3%
205.73,186.28,10.4%
22.27,21.79,2.2%
41.71,52.74,(20.9%)
"165,981","137,390",20.8%
"2,300","2,275",1.1%
86.0%,67.3%,18.7ppt
"48,306","38,918",24.1%
"28,467","21,364",33.2%
"11,059","13,710",(19.3%)
"3,882","4,508",(13.9%)
"6,046","5,526",9.4%
"6,025","5,500",9.5%
"5,920","5,387",9.9%
