GROUP,Column,Column,Column
"2022 2021 2022 2021
KShs’m KShs’m KShs’m KShs’m",,,
,"16,504.8
(5,315.7)",,"14,826.6
(5,160.0)"
"18,373.9",,"18,177.3",
"(6,916.9)",,"(6,729.9)",
"11,457.0","11,189.1","11,447.4","9,666.6"
"1,801.2","2,475.4
(17.4)","3,834.7","2,874.3
(911.7)"
(6.7),,"(1,096.3)",
"1,794.5","2,458.0","2,738.4","1,962.6"
"6,059.0","4,087.5
(30.4)","4,420.7","3,973.8
(21.1)"
(81.1),,(81.1),
"5,977.9","4,057.1","4,339.6","3,952.7"
"6,157.2","3,147.3","2,945.7","3,147.2"
569.0,"1,568.9
(72.5)",569.0,"1,568.9
(72.5)"
(36.4),,(36.4),
532.6,"1,496.4",532.6,"1,496.4"
"25,919.2","22,347.9","22,003.7","20,225.5"
