30-Sep-21,31-Mar-21,% Change
"4,203.3","4,203.3",0.0%
"133,743.9","96,571.8",38.5%
"(1,482.4)",0.0,100.0%
0.0,"36,860.2",(100.0%)
"136,464.8","137,635.3",(0.9%)
"42,331.8",0.0,100.0%
"178,796.6","137,635.3",29.9%
"17,528.8","17,541.7",(0.1%)
"196,325.4","155,177.0",26.5%
"275,160.8","174,719.9",57.5%
"26,450.5","26,736.1",(1.1%)
"23,397.0","22,347.9",4.7%
"4,066.8","2,487.0",63.5%
"1,286.4","1,287.8",(0.1%)
"3,180.7","3,043.4",4.5%
8.6,7.2,19.4%
"58,390.0","55,909.4",4.4%
"37,196.3","34,021.4",9.3%
"3,872.7",260.3,>100.0%
"76,998.0","14,772.0",>100.0%
"1,367.1","8,684.1",(84.3%)
"4,693.8","4,119.5",13.9%
"2,670.2","2,561.5",4.2%
"10,427.3","11,033.5",(5.5%)
"137,225.4","75,452.3",81.9%
"(78,835.4)","(19,542.9)",>100.0%
"196,325.4","155,177.0",26.5%
