"2016
Shs’000",Column
"2,003,271",
"2,200,040",
"82,052,204",
"30,483,432",
"116,738,947","104,276,531"
,"490,762"
-,
"116,738,947","104,767,293"
,"1,666,417
107,756,919
4,848,505
-
9,863,260
219,151
11,819
1,002"
"1,420,309",
"113,419,398",
"4,500,334",
"845,000",
"8,721,467",
"219,151",
"115,908",
477,
"129,242,044","124,367,073"
,"8,258,601
10,301,643
2,113,938
11,916,371"
"816,393",
"20,622,992",
"2,391,563",
"6,109,493",
"29,940,441","32,590,553"
,"41,423,899
617,216
10,149,218"
"40,068,982",
"2,374,556",
-,
"42,443,538","52,190,333"
"(12,503,097)","(19,599,780)"
"116,738,947","104,767,293"
