FY22,FY21,% Change YoY
502.6,351.2,43.1%
510.3,345.7,47.6%
101.5%,98.4%,3.1ppt
345.2,446.2,(22.6%)
5.94,4.54,31.0%
6.9,5.9,16.4%
46.3,51.1,(9.4%)
44.9,51.3,(12.4%)
97.0%,100.3%,(3.3ppt)
"6,874","8,725",(21.2%)
0.7,0.8,(18.7%)
3.8,3.3,16.3%
86.1,94.5,(8.9%)
54.4,53.9,0.9%
63.2%,57.1%,6.1ppt
"6,172","5,575",10.7%
1.9,2.2,(13.4%)
4.7,4.0,17.5%
