Column,"2024
KShs’m","2023
KShs’m","2024
KShs’m","2023
KShs’m"
"16
22(b)
29(a)
29(b)
30(b)
32(xi)",,"42,050.0
29,984.0
27,359.3
4,462.8
1,607.8
–",,
,"63,093.2",,"36,110.8",
,"48,474.3",,"18,409.1",
,"19,458.6",,–,
,"5,087.0",,"3,629.7",
,"1,481.2",,"1,481.2",
,–,,"1,062.7",
,"137,594.3","105,463.9","60,693.5",
"12(b)
15
16
22(b)
29(a)
29(b)
33
30(b)",,"2,408.8
1,783.0
45,555.4
5,354.9
70,625.1
4,524.1
–
10,125.9",,
,193.1,,–,
,"6,649.2",,"6,649.2",
,"45,053.6",,"41,555.8",
,"6,411.0",,"5,163.1",
,"94,919.5",,"41,822.5",
,"2,938.9",,"2,938.9",
,263.3,,–,
,"11,393.5",,"10,581.8",
,"167,822.1","140,377.2","108,711.3",
,"305,416.4","245,841.1","169,404.8",
,"641,164.3","509,207.0","371,291.1",
