"2020
KShs’m","2019
KShs’m","2020
KShs’m"
"2,003.3","2,003.3
2,200.0
65,218.9
74,922.4","2,003.3"
"2,200.0",,"2,200.0"
"82,785.2",,"81,038.6"
"56,091.6",,"56,091.6"
"143,080.1","144,344.6","141,333.5"
,"1,131.0
739.5
–",
985.4,,985.4
983.4,,983.4
"11,675.3",,"11,675.3"
"13,644.1","1,870.5","13,644.1"
"156,724.2","146,215.1","154,977.6"
,"1,602.9
125,217.8
–
3,553.1
845.0
7,385.4
–
150.3
56.8
964.5
1,845.5
895.5",
"1,104.7",,937.4
"129,337.2",,"128,968.7"
"15,242.9",,"15,242.9"
"3,252.1",,"3,252.1"
845.0,,845.0
"6,026.2",,"6,021.8"
–,,431.3
"4,965.1",,"4,965.1"
–,,–
881.7,,881.7
"1,911.7",,"1,911.7"
836.1,,836.1
"164,402.7","142,516.8","164,293.8"
,"20,030.1
8,043.0
18,126.3
1,774.6
–
1,984.6",
"26,759.7",,"25,859.7"
188.6,,–
"17,190.3",,"16,801.9"
"1,859.4",,"1,793.1"
260.4,,251.8
"2,563.8",,"2,563.8"
"48,822.2","49,958.6","47,270.3"
