(a) Group,Goodwill,Licence fees,Total
,Shs’000,Shs’000,Shs’000
,"219,151","9,863,354","10,082,505"
,-,"(1,141,793)","(1,141,793)"
,"219,151","8,721,561","8,940,712"
,"219,151","16,465,833","16,684,984"
,-,"(7,744,272)","(7,744,272)"
,"219,151","8,721,561","8,940,712"
,"219,151","8,721,561","8,940,712"
,-,"2,516,738","2,516,738"
,"(219,151)","(1,123,349)","(1,342,500)"
,-,"10,114,950","10,114,950"
,-,"18,982,570","18,982,570"
,-,"(8,867,620)","(8,867,620)"
,-,"10,114,950","10,114,950"
