"FY20
IFRS 15/16",Column,"FY19
IFRS15/IAS17","% Change
IFRS15/IAS17","IFRS 16
Impact"
94.45,"94.45
84.44
17.19
40.67
8.97
5.50
251.22
10.48
0.58
0.28
262.56
(74.70)
(1.67)
(0.58)
185.61
70.8%
(50.97)
19.5%
134.63
51.4%
(33.62)
101.01
38.6%
2.56
0.06
3.30
106.93
(32.23)
74.70
0.00
74.70
28.5%",95.80,(1.4%),0.00
84.44,,74.99,12.6%,0.00
17.19,,19.61,(12.3%),0.00
40.67,,36.27,12.1%,0.00
8.97,,8.10,10.7%,0.00
5.50,,5.00,10.0%,0.00
251.22,,239.77,4.8%,0.00
10.48,,9.45,10.9%,0.00
0.58,,0.60,(3.3%),0.00
0.28,,0.46,(39.1%),0.00
262.56,,250.28,4.9%,0.00
(74.70),,(71.80),4.0%,0.00
(1.67),,0.01,<100.0%,0.00
(0.58),,(0.60),(3.3%),0.00
185.61,,177.89,4.3%,0.00
70.8%,,71.2%,(0.4ppts),0.0ppts
(47.56),,(53.59),(4.9%),3.41
18.2%,,21.5%,(2.0ppts),(1.3ppts)
138.04,,124.30,8.3%,3.41
52.7%,,49.8%,1.6ppts,1.3ppts
(36.55),,(35.33),(4.8%),(2.92)
101.49,,88.97,13.5%,0.48
38.7%,,35.6%,3.0ppts,0.1%
0.92,,2.24,14.3%,(1.64)
0.06,,0.01,>100.0%,0.00
3.30,,0.00,>100.0%,0.00
105.77,,91.22,17.2%,(1.15)
(32.12),,(28.73),12.2%,0.11
73.66,,62.49,19.5%,(1.04)
0.00,,0.00,0.00%,0.00
73.66,,62.49,19.5%,(1.04)
28.1%,,25.0%,3.5ppts,(0.4ppts)
1.84,1.86,1.56,19.5%,(0.02)
