Shs Bn,"H1 FY17
Reported","H1 FY17
Normalized**",H1 FY16,"YoY%
Reported","YoY%
Normalized"
,,"45.70
8.63
13.40
2.40
25.87
2.01","45.19 1.1%
7.98 8.1%
9.16 46.3%
1.86 29.0%
19.35 33.7%
1.37 46.7%",,"1.1%
8.1%
46.3%
29.0%
33.7%
46.7%"
Service Revenue,98.01,98.01,84.91,15.4%,15.4%
,,"4.01
0.08","3.87 3.6%
8.44 -99.1%",,"3.6%
-99.1%"
Total Revenue,102.10,102.10,97.22,5.0%,5.0%
,,"0.05
(32.50)
(0.08)","0.08 >100.0%
(30.02) 8.3%
(8.44) -99.1%",,"-37.5%
8.3%
-99.1%"
Contribution Margin,71.80,69.57,58.84,22.0%,18.2%
,,"68.19%
(22.12)
0.01
21.68%","66.23% 4.15ppts
(19.22) 9.3%
0.78 <100.0%
22.53% 1.96ppts",,"1.96ppts
15.1%
<100.0%
0.85ppts"
EBITDA,50.81,47.46,3 83.88.844,30.8%,22.2%
,,"46.52.%
(16.35)
0.03
(0.01)
0.01
(10.56)","43.75% 6.05ppts
(13.55) 20.7%
0.33 -90.9%
0.69 <100.0%
0.09 -88.9%
(8.32) 26.9%",,"2.77ppts
20.7%
-90.9%
<100.0%
-88.9%
26.9%"
Net Income,23.93,20.57,18.08,32.4%,13.8%
