Key Performance Indicators,Column,30-Sep-13,%
,30-Sep-14,,Increase/
,,,(Decrease)
"Total customers (m)
M-PESA registered customers (m)
M-PESA - 30 day active customers (m)
Mobile Data - 30 day active customers (m)
Fixed data customers
Churn (%)
Service revenue ARPU
Voice ARPU
SMS ARPU
M-PESA ARPU
Mobile Broadband ARPU
Fixed Service ARPU
Data (SMS/Broadband/M-PESA) % total revenue
Number of M-PESA agents
2G base stations
3G base stations
Wimax Sites",21.85,"20.82
18.15
11.55
8.48
6,931
18.37
547.93
346.65
52.54
186.28
86.97
29,680
35.14
78,856
2,984
1,650
187",4.95
,19.95,,9.92
,12.80,,10.82
,10.51,,23.94
,"7,499",,8.20
,20.47,,2.10
,577.70,,5.43
,342.72,,(1.13)
,54.81,,4.32
,206.48,,10.84
,103.18,,18.64
,"34,027",,14.65
,38.76,,3.62
,"80,330",,1.87
,"3,247",,8.81
,"1,973",,19.58
,203,,8.56
