Column,Product Name,Product Description
Agriculture,√ iCow,√ Information tips for dairy farmers
Health,√ afya tips,"√ s Ms messaging on general wellness,
weight loss and diabetes management"
,"√ national gender
Violence Hotline","√ H otline and counseling service for
survivors of gender based violence"
Green energy,√ M-KoPa solar,"√ P ay-as-you go solar lighting system,
powered by M-Pesa"
Governance,√ sisi ni amani,"√ P eace Messaging before, during and
after the 2013 elections"
Youth,√ Young africa Live,"√ a portal with information on health,
wellness, relationships for young people"
