"FY 19
KShs Bn
IFRS 15","FY 19
IAS 18","FY 18
IAS 18","YoY%
IAS 18 basis"
,"95.94
17.50
38.69
8.19
74.99
5.00","95.64
17.72
36.36
6.67
62.91
5.24","0.3%
(1.3%)
6.4%
22.7%
19.2%
(4.5%)"
Service Revenue 239.77,240.30,224.54,7.0%
,250.96,234.22,7.1%
Contribution margin 177.89,178.53,163.47,9.2%
,71.3%,69.9%,1.5ppts
EBITDA 124.30,124.94,112.83,10.7%
,49.9%,48.2%,1.7ppts
EBIT 88.97,89.61,79.27,13.1%
,35.8%,33.9%,1.9ppts
Net Income 62.49,63.40,55.29,14.7%
,25.3%,23.6%,1.7ppts
Earnings per share 1.56,1.58,1.38,14.7%
