Column,"Salary
KShs’m","Directors’
fees
KShs’m","Bonus
KShs’m","Non-cash
benefits
KShs’m","Total
KShs’m"
"Executive Directors
Peter Ndegwa
Dilip Pal",,,,,
,95.24,–,196.27,21.60,313.11
,57.94,–,39.67,17.73,115.34
Total,153.18,–,235.94,39.33,428.45
"Non-Executive Directors
Adil Khawaja
John Ngumi
Michael Joseph
Bitange Ndemo
Rose Ogega
Linda Muriuki
Mohamed Joosub
National Treasury
Francesco Bianco
Christopher Kirigua
Eng. Stanley Kamau
Winnie Ouko
Sitholizwe Mdlalose
Raisibe Morathi
Ory Okolloh
Karen Kandie",,,,,
,–,4.65,–,0.02,4.66
,–,7.90,–,3.07,10.97
,–,15.71,–,5.39,21.10
,–,5.68,–,0.19,5.88
,–,10.39,–,0.21,10.60
,–,7.37,–,0.32,7.69
,–,6.74,–,–,6.74
,–,2.50,–,–,2.50
,–,5.53,–,–,5.53
,–,0.88,–,5.65,6.53
,–,2.89,–,0.10,2.99
,–,8.54,–,0.35,8.89
,–,2.21,–,–,2.21
,–,7.84,–,–,7.84
,–,0.80,–,–,0.80
,–,0.66,–,–,0.66
Total,–,90.29,–,15.30,105.59
Grand total,153.18,90.29,235.94,54.63,534.04
