Name,Skills and Experience
"Vivek Badrinath (48)
Non-Executive Director
Appointed May 2017","He was the Deputy Chief Executive at the international hospitality group Accor Hotels where he was
responsible for marketing, digital solutions, distribution and information systems.
He was previously Deputy Chief Executive with Orange and has a long career in telecommunications
and technology.
Other roles held include Executive Director responsible for Orange's Business Services division, lead-
ership of Orange's global networks and operators division and Chief Technology Officer for Orange's
mobile activities. Vivek was appointed to the Vodacom Group Board in December 2016.
He holds an Engineering degrees from Ecole Polytechnique and Telecom ParisTech (France), Degree
in Statistics
Other current appointments
CEO, AMAP Region for Vodafone and the Executive Committee overseeing Vodafone’s operations in
the Vodacom Group, India, Australia, Egypt, Ghana, Kenya, Qatar, New Zealand and Turkey."
"Gianluca Ventura (50)
(Alternate to Vivek Badrinath)
Appointed March 2015","He joined Vodafone in 2003 as Head of HR Technology and became Director of the Vodafone Group’s
Technology Department in 2006, based in Newbury. He held the role of HR Director of Vodafone
Southern Europe since 2012 and of HR and Organisation Director of Vodafone Italy since 2008. Previ-
ously, he worked at L’Oreal, where he held the role of Italy HR Director.
He is a graduate of Bocconi University in Milan and has a CEMS Master’s Degree from Esade in Bar-
celona.
Other current appointments
Vodafone Group’s Human Resources Director Africa, Middle East and Asia Pacific, a role he has held
since October 2013."
"Mohamed Shameel Aziz Joosub (47)
Non – Executive Director
Appointed August 2017","He is a former CEO of Vodafone Spain. He was previously the Managing Director of Vodacom South
Africa from March 2005 to March 2011 prior to taking up the position as CEO of Vodafone Spain. Prior
to that, he was the Managing Director of Vodacom Service Provider Company and Managing Director
of Vodacom Equipment Company.
Shameel served on the Vodacom Group Board from 2000 until March 2011, when he was seconded
to Spain.
He holds a Bachelor of Accounting Science (Honors) (Unisa) and MBA (Southern Queensland Univer-
sity, Australia), Associated General Accountant and Commercial and Financial Accountant (SA)
Other current appointments
• CEO of Vodacom Group since September 2012
• Chairman of the Vodacom Group Executive Committee & Vodacom (Pty) Limited
• Re-appointed to the Vodacom Group Board in September 2012 after his return from Spain."
"Till Streichert (44)
Non – Executive Director and
(Alternate to Mohamed Joosub)
Appointed August 2017","He has vast experience finance and commercial roles, including CFO and Head of Channel Marketing
and Sales Operations at Vodafone Romania and Finance Director at Vodacom South Africa. He began
his career at T-Mobile Germany before undertaking various roles at T-Mobile UK as well as a strategy
consultant at The Boston Consulting Group. He has more than 15 years’ experience supporting fi-
nancial and operational transformations through expertise in financial strategy, business leadership,
revenue and profit growth in international environments.
Till was recently awarded the 2017 CFO of the Year award by CFO South Africa.
Other current appointments
The Chief Financial Officer and Executive Director of Vodacom"
