"61,999.5","10,327.1",463.4,"1,413.4","29,199.7","25,934.1","129,337.2"
–,"34,935.8",15.8,–,8.6,–,"34,960.2"
"13,402.7","(36,706.2)",–,497.5,"19,897.4","2,908.6",–
(134.3),–,–,–,(43.4),–,(177.7)
–,–,–,–,"(4,243.3)",–,"(4,243.3)"
"2,207.4",–,–,–,–,–,"2,207.4"
"(15,649.5)",–,(141.0),(577.3),"(14,946.5)","(1,310.2)","(32,624.5)"
(3.0),–,(0.5),2.0,1.3,0.2,–
92.2,–,–,–,38.9,–,131.1
–,–,–,–,"4,243.3",–,"4,243.3"
"61,915.0","8,556.7",337.7,"1,335.6","34,156.0","27,532.7","133,833.7"
"243,602.0","8,556.7","1,580.3","7,940.7","119,724.0","33,196.5","414,600.2"
"(181,687.0)",–,"(1,242.6)","(6,605.1)","(85,568.0)","(5,663.8)","(280,766.5)"
"61,915.0","8,556.7",337.7,"1,335.6","34,156.0","27,532.7","133,833.7"
