31 March 2024,Column,Column,Column,Column
"At a point
in time
KShs’m","Over time
KShs’m","Total
KShs’m","At a point
in time
KShs’m","Over time
KShs’m"
"136,686.9",–,"136,686.9","114,359.7
–
–
–
–
–
–
–","–
80,918.2
53,596.0
13,496.6
11,371.7
5,302.2
2,753.8
10,008.2"
–,"79,511.7","79,511.7",,
–,"63,236.2","63,236.2",,
–,"15,111.3","15,111.3",,
–,"12,277.0","12,277.0",,
–,"5,094.6","5,094.6",,
–,"3,158.0","3,158.0",,
–,"11,488.9","11,488.9",,
"136,686.9","189,877.7","326,564.6","114,359.7","177,446.7"
"6,780.1",–,"6,780.1","9,796.9
–","–
976.1"
–,"1,986.1","1,986.1",,
"143,466.0","191,863.8","335,330.8","124,156.6","178,422.8"
