Key Performance Indicators,Column,30-Sep-12,% Increase/
,30-Sep-13,,
,,,(Decrease)
"Total customers (m)
M-PESA registered customers (m)
M-PESA - 30 day active customers (m)
Mobile Data - 30 day active customers (m)
Fixed data customers
Churn (%)
Service revenue ARPU
Voice ARPU
SMS ARPU
M-PESA ARPU
Mobile Broadband ARPU
Fixed Service ARPU
Data (SMS/Broadband/Fixed Data/M-PESA) % total revenue
Number of M-PESA agents
2G base stations
3G base stations
Wimax Sites",20.82,"19.22
15.23
9.72
5.59
6,718
28.46
490.69
319.56
38.50
115.22
91.72
25,711
31.6
45,540
2,815
1,545
190",8.32
,18.15,,19.17
,11.55,,18.83
,8.48,,51.70
,"6,931",,3.17
,18.37,,(35.45)
,547.93,,11.67
,346.65,,8.48
,52.54,,36.47
,118.03,,2.44
,86.97,,(5.18)
,"29,680",,15.44
,35.14,,11.20
,"78,856",,73.16
,"2,984",,6.00
,"1,650",,6.80
,187,,(1.58)
