Date,"15 November, 2005"
Parties,"DHL Worldwide Express Limited & DHL Danzas Limited (now called DHL Global
Forwarding) and Safaricom Limited."
Term/Duration,"Three years from 1 November, 2005"
"Termination
Provisions","The Agreement may be terminated by either party issuing 4 months’ written notice,
or immediately upon the other party committing a material breach of the Agreement."
"Fee/amount
payable","Approximately KShs 7.2 million per month in fixed fees: additional fees are based
on the volume of deliveries/imports etc and based on agreed tariff schedules. DHL
reserves the right to make emergency surcharges to recover costs associated with
temporary or industry wide situations which could not be reasonably anticipated at
the commencement of the Agreement."
"Governing Law &
Dispute
resolution","The Agreement is governed by Kenyan law, and disputes shall be settled by
arbitration. The seat of arbitration is Nairobi."
