HY24,HY23,% Change
419.2,315.6,32.8%
400.8,304.6,31.6%
95.6%,96.5%,(0.9ppt)
260.7,320.9,(18.7%)
2.0,3.4,(40.3%)
7.5,7.4,1.4%
23.1,21.7,6.7%
21.7,21.3,1.9%
93.7%,98.1%,(4.4ppt)
"5,484","5,033",9.0%
0.4,0.3,10.3%
3.4,3.6,(6.0%)
52.3,43.4,20.5%
43.0,24.1,78.7%
82.3%,55.5%,26.8ppt
"9,688","7,260",33.4%
1.2,1.0,20.2%
6.0,4.4,36.9%
