Column,"2023
KShs’m","2022
KShs’m"
"Total revenue
Total expenses","1,834.5","–
(5,109.2)"
,"(22,324.0)",
"Loss before interest, tax, depreciation and amortisation","(20,489.5)","(5,109.2)"
"Depreciation and amortisation
Financing costs
Finance income
Net monetary gain (Note 35)
Income tax expense","(10,767.4)","(14.3)
(75.9)
340.6
–
–"
,"(1,478.0)",
,212.7,
,"10,383.1",
,–,
Loss after tax,"(22,139.1)","(4,858.8)"
"Other comprehensive income
Exchange differences on translation of foreign operations",,"(9,536.3)"
,"10,260.0",
Total comprehensive income,"(11,879.1)","(14,395.1)"
Attributable to non-controlling interests,"(11,879.1)","(5,484.5)"
