Group,Column,Company,Column
HY24,HY23,HY24,HY23
"39,109.6","39,881.4","38,685.6","39,877.0"
"5,764.6","5,422.4","5,745.5","5,422.1"
"30,949.8","26,296.6","29,585.4","26,292.8"
"66,239.4","56,863.2","64,738.0","55,457.4"
"4,075.7","4,420.4","3,943.2","4,419.8"
"5,626.5","5,184.8","5,614.8","4,858.7"
"151,765.6","138,068.8","148,312.4","136,327.8"
"7,370.3","6,756.6","7,370.3","6,756.6"
"159,135.9","144,825.4","155,682.7","143,084.5"
"3,839.0","7,273.6","2,944.4","7,184.3"
"1,641.9","1,331.3","1,963.8","1,591.2"
"164,616.8","153,430.3","160,590.9","151,860.0"
"(44,398.7)","(46,812.2)","(40,988.8)","(46,034.1)"
"(2,804.1)","(1,611.8)","(2,974.2)","(1,781.3)"
"117,414.0","105,006.3","116,627.9","104,044.6"
71.3%,68.4%,72.6%,68.5%
"(37,741.1)","(30,964.1)","(27,185.2)","(24,716.0)"
22.9%,20.2%,16.9%,16.3%
"79,672.9","74,042.2","89,442.6","79,328.6"
48.4%,48.3%,55.7%,52.2%
"(38,226.1)","(22,796.3)","(23,320.3)","(21,665.5)"
"41,446.8","51,245.9","66,122.3","57,663.1"
25.2%,33.4%,41.2%,38.0%
"(7,121.3)","(2,932.3)","(5,747.2)","(4,619.4)"
(412.5),(62.6),(412.5),(62.6)
"13,027.4",-,-,-
"46,940.4","48,251.0","59,962.6","52,981.2"
"(19,753.1)","(18,021.8)","(19,353.5)","(17,249.1)"
"27,187.3","30,229.2","40,609.1","35,732.1"
"34,164.6","33,472.2","40,609.1","35,732.1"
"(6,977.3)","(3,243.0)",-,-
"27,187.3","30,229.2","40,609.1","35,732.1"
0.9,0.8,1.0,0.9
"27,187.3","30,229.2","40,609.1","35,732.1"
"19,670.1","1,679.7",-,-
"19,670.1","1,679.7",-,-
"46,857.4","31,908.9","40,609.1","35,732.1"
"44,328.5","34,408.0","40,609.1","35,732.1"
"2,528.9","(2,499.1)",-,-
"46,857.4","31,908.9","40,609.1","35,732.1"
