Strategic Risks,Column
Regulatory environment,Mitigation
"The Regulatory environment that Safaricom operates in is
increasingly becoming complex and a key area of focus. The
dominance debate continues to receive a lot of attention and we
are closely monitoring the developments.
The nature of products and services that we provide requires that
we comply with a wide range of rules and laws from our regulators
namely Communications Authority of Kenya (CA), Competition
Authority of Kenya (CAK) and Central Bank of Kenya (CBK).","We continue to build constructive relationships with the regulators
as well as contribute to discussions on emerging legislation and
regulations as we prepare to comply with the same.
Our products and services are carefully and continuously
monitored to ensure they do not contravene competition/
dominance regulations."
Economic growth prospects,Mitigation
"Kenya has continued to experience challenges from a volatile
currency, increased inflation and a reduction of forex earnings.
The prolonged electioneering period in the year also caused
uncertainty among investors thereby shying away from local
investment opportunities.
The 2017 economic outlook showed a decline in the GDP due to
a combination of domestic and international constraints. Other
factors such as crippling drought and the ongoing cap on lending
rates also contributed to a reduction in consumers purchasing
power.","We continue to proactively monitor these factors, implement
measures to mitigate the effects and cushion the business from
adverse effects."
Competition,Mitigation
"The industry has become increasingly competitive in terms of
product and service offerings. Entrance of new players in the market
have also intensified the competition with value proposition as the
competitive edge.","Our strategies to manage competition focus on growing and
retaining our customers by offering quality services and leveraging
on strategic partnerships within different sectors to ensure we
provide our customers with relevant products and services."
Political uncertainties and unrest,Mitigation
"The last year has seen the country experience an extended period
of political quagmire which has had adverse impact on the
economic, social and business environments. These uncertainties
have also led to security concerns affecting our staff and business
premises.","The business continues to monitor the political situation keenly
while taking appropriate business measures to safeguard our
operations. To manage these security risks, we have invested
heavily to ensure our staff, contractors and assets are protected
and we continue to work closely with Law enforcement authorities
to ensure our customers’ interests are well protected.
Further, we carry out proactive intelligence gathering, screening
and security surveillance.
We will continue to invest in security training and awareness as well
as maintenance and improvement of our security infrastructure
and tools."
Operational Risks,
Information and cyber threats,Mitigation
"An external cyber-attack, insider threat or supplier breach
(malicious or accidental) could result in service interruption and/or
the breach of confidential data, with resulting negative impact on
customers, revenues and reputation and potential costs associated
with fraud and/or extortion.","Safaricom has enhanced its capacity to handle cybercrime
incidents and technology related crime. Of particular note are
robust cyber security controls complemented by the 24/7 Security
Operations Centre to ensure we safeguard the services that we
offer.
Our ISO 27001 Information Security Certification is an independent
confirmation to our customers that we have implemented
appropriate processes and controls relating to our M-PESA, billing,
mobile data, customer support and cloud services to protect the
privacy of their information."
