"Less than 1 year
Shs’000","Between 1 and 2
years
Shs’000
512,605
-
-","Between 2 and 5
years
Shs’000","Total
Shs’000
6,594,635
4,753,690
34,530,264"
"6,082,030",,-,
"4,753,690",,-,
"34,530,264",,-,
"45,365,984","512,605",-,"45,878,589"
,"663,699
4,753,763
-",,"712,019
13,234,375
23,493,266"
"48,320",,-,
"8,480,612",,-,
"23,493,266",,-,
"32,022,198","5,417,462",-,"37,439,660"
,"512,605
-
-",,"6,594,635
4,753,690
34,247,432"
"6,082,030",,-,
"4,753,690",,-,
"34,247,432",,-,
"45,083,152","512,605",-,"45,595,757"
,"663,699
4,753,763
-",,"712,019
13,234,375
23,265,949"
"48,320",,-,
"8,480,612",,-,
"23,265,949",,-,
"31,794,881","5,417,462",-,"37,212,343"
