Column,Column,Column,Column,Column,Column,%
Ksh Bn,,2008,,2007,,
,,,,,,Increase
Revenue,Voice,54.203,,41.508,,30.6
,SMS & Data,4.607,,4.043,,14.0
,Acquisition,1.815,,1.340,,35.4
,Other,0.744,,0.556,,33.8
,Total,,61.369,,47.447,29.3
Expenses,Operating,(26.066),,(18.155),,43.6
,"Selling, General",,,,,
,,(7.156),,(4.801),,49.1
,and Admin,,,,,
,Total,,(33.222),,(22.956),44.7
Other operating,,,,,,
,,,0.005,,0.017,
income,,,,,,
28.152,,,28.152,,24.508,14.9
% of Revenue,,,45.9%,,51.7%,
Depreciation &,,,,,,
,,,(9.683),,(6.720),44.1
Amortisation,,,,,,
Operating Profit,,,18.469,,17.788,3.8
% of Revenue,,,30.1%,,37.5%,
Financing Costs,,,1.476,,(0.596),
Profit before Tax,,,19.945,,17.192,16.0
Taxation,,,(6.092),,(5.182),17.6
Profit After tax,,,13.853,,12.010,15.3
% of Revenue,,,22.6%,,25.3%,
