Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Other related parties
Vodafone Roaming Services S.à r.l
Vodacom Tanzania Public Limited Company
M-PESA Holding Co. Limited
Vodafone Group Enterprises
Vodacom (Pty) Limited
Vodacom Business (Kenya) Limited
Vodafone Egypt Telecom. S.A.E.
Vodafone Network PTY Limited
Vodafone Sverige AB
Vodafone Qatar Q.S.C.
Vodafone Group Services Limited
Vodafone Malta
Vodafone Enterprise Global Limited
Vodafone Ghana
Vodafone DRC Congo
Vodafone US Inc.
Vodacom Group Limited
Vodafone Sales & Services Limited
Joint venture
M-PESA Africa Limited
Subsidiaries
Safaricom Money Transfer Services Limited
DigiFarm Kenya Limited
Global Partnership for Ethiopia B.V
Instaconnect Limited
Safaricom Telecommunication Ethiopia PLC
Safaricom Foundation
One Communications Limited",,,,
,79.7,69.5,79.7,69.5
,40.6,49.6,40.6,49.6
,"106,362.2","96,826.8","106,361.5","96,826.8"
,–,95.7,–,95.7
,440.8,508.7,440.8,508.7
,16.2,13.5,16.2,13.5
,1.3,10.3,1.3,10.3
,1.6,0.6,1.6,0.6
,0.5,0.4,0.5,0.4
,2.2,0.7,2.2,0.7
,42.5,–,42.5,–
,0.4,–,0.4,–
,194.6,292.9,194.6,292.9
,–,9.2,–,9.2
,–,0.3,–,0.3
,8.7,9.2,8.7,9.2
,118.4,35.7,118.4,35.7
,47.9,–,47.9,–
,929.4,628.0,929.4,628.0
,–,–,876.2,810.8
,–,–,202.0,251.4
,–,–,60.9,124.6
,–,–,0.1,–
,–,–,"1,435.1",725.7
,–,–,81.0,–
,–,–,3.2,–
,"108,287.0","98,551.1","110,944.8","100,463.6"
