Member Shareholding,Column
Mr. Nicholas Ng’ang’a,"850,100"
Mr. Robert Collymore,"588,000"
Mr. Timothy Harrabin,0
Mr. Michael Joseph,"2,357,200"
Mr. Joseph Kinyua,"42,500"
Mrs. Esther Koimett,"517,600"
Ms. Nancy W Macharia,"43,000"
Mrs. Susan Mudhune,"51,200"
Mr. Chris Tiffin,0
Mr. Nicholas Read,0
Ms. Karen Witts,0
Mr. John Maonga,"40,000"
