"FY20
FRS 15/16","FY20
IFRS 15/IAS17","FY19
IFRS15/IAS17","% Change
IFRS15/IAS17","IFRS 16
Impact"
(0.33),(0.33),(0.31),6.5%,0.00
(0.05),(1.15),(1.21),(5.0%),1.10
(0.35),(2.60),(2.56),1.6%,2.26
(0.32),(0.32),(0.32),0.0%,0.00
(16.94),(16.99),(16.93),0.4%,0.05
(0.06),(0.06),(0.05),20.0%,0.00
(5.79),(5.79),(7.48),(22.6%),0.00
(1.43),(1.43),(0.04),>100.0%,0.00
(13.41),(13.41),(14.04),(4.5%),0.00
(0.75),(0.75),(0.87),(13.8%),0.00
(2.09),(2.09),(2.22),(5.9%),0.00
(1.02),(1.02),(1.33),(23.3%),0.00
0.17,0.17,0.06,>100.0%,0.00
(5.19),(5.19),(6.29),(17.5%),(0.00)
(47.56),(50.97),(53.59),(4.9%),3.41
