Agreement,M-PESA managed services agreement
Subject Matter,"Vodafone shall provide the managed services to Safaricom and shall authorise
Safaricom to operate the M-PESA service in Kenya. Safaricom shall market and
offer the M-PESA service to prospective customers, agents and merchants in Kenya
and will be responsible for all associated end user facing activities including
customer care, first line support, marketing, recruitment, training and day to day
financial operations of the bank account in accordance with the bank account
operations agreement and Safaricom shall pay Vodafone the services fee for the
provision of the managed services and licence to operate the M-PESA service in
Kenya."
Date,"23 February, 2007"
Parties,Vodafone Marketing Sarl and Safaricom Limited
Law applicable,England and Wales
Term/Duration,"The Agreement shall remain in force for an initial term of 5 years. The terms of the
Agreement to be reviewed after 6 months of commencement."
Start Date,"23 February, 2007"
"Fee/amount
payable","Services fee paid by Safaricom computed as 32.5% of the annual M-PESA revenue
payable in quarterly instalments in arrears. This may be adjusted by agreement
between the parties once the quarterly profit of M-PESA in respect of any 4
consecutive quarters is above EUR 24,000,000 but the same shall not exceed 50%
of the profit."
Material terms,"Exclusive agreement for 5 years. However this shall not apply if (i) the parties agree
that the M-PESA solution may be offered by Vodafone to other parties in Kenya and
have agreed the commercial terms for that, (ii) any authority that has jurisdiction
over Safaricom in a supervisory or regulatory capacity requires either party to
procure that the M-PESA solution be made available to other parties, (iii) if at any
time after the expiry of 24 months following the commencement date the services
fee payable in respect of any quarter is 33% or more below the anticipated amount
set out in the budget (estimated at KShs 346 million for the 1st year). All intellectual
property rights in M-PESA belongs to Vodafone and are licensed to Safaricom
under a trademark licence agreement."
"Termination
Provisions","That either party can terminate the Agreement by giving the other party at least 6
months written notice. However, in the event of withdrawal by either Party from the
provision of Managed Services at any time during the life of the Agreement, the
withdrawing Party shall grant to the other Party a non-exclusive, non-transferable
license to operate the Services in Kenya."
Liability,"If a party is found to be liable to the other for the breach of its obligations under the
Agreement such party shall be liable to pay up to 15 million euros."
"Dispute
resolution",Arbitration in Paris
