"Neither past
due nor
impaired
Shs’000","Past due but
not impaired
Shs’000
267,389
-
-
-
87,048","Impaired
Shs’000","Total
Shs’000
435,471
1,732,204
1,560,679
1,798,496
2,170,447"
"165,154",,"2,928",
"1,275,196",,"457,008",
"1,352,552",,"208,127",
"1,765,228",,"33,268",
"1,753,276",,"330,123",
"6,311,406","354,437","1,031,454","7,697,297"
,"138,827
198,556
83,829
13,436
293,954",,"1,079,588
1,213,630
1,055,698
1,548,078
2,105,135"
"940,761",,-,
"762,279",,"252,795",
"591,336",,"380,533",
"1,519,267",,"15,375",
"1,384,918",,"426,263",
"5,198,561","728,602","1,074,966","7,002,129"
,"267,389
-
-
-
-
-",,"435,471
1,732,204
1,560,679
2,006,208
1,782,858
633,408"
"165,154",,"2,928",
"1,275,196",,"457,008",
"1,352,552",,"208,127",
"1,972,940",,"33,268",
"1,465,892",,"316,967",
"633,408",,-,
"6,865,142","267,389","1,018,298","8,150,828"
