(a) Group,"Network
infrastructure","Capital
work
in progress
(CWIP)*","Network
maintenance
spares","Leasehold
improvements","Vehicles &
equipment",Fibre,Total
,Shs’000,"Shs’000
22,909,945
-",Shs’000,"Shs’000
4,539,975
(3,411,747)",Shs’000,"Shs’000
8,059,500
(310,702)",Shs’000
,"195,394,858",,"922,898",,"28,201,805",,"260,028,981"
,"(127,472,632)",,"(447,243)",,"(20,629,738)",,"(152,272,062)"
,"67,922,226","22,909,945","475,655","1,128,228","7,572,067","7,748,798","107,756,919"
,,"22,909,945
32,971,341
-
(36,167,245)
(1,211,859)
-
-
-
-",,"1,128,228
-
919
1,000,822
-
-
(474,833)
-
-",,"7,748,798
-
8,303
5,593,245
-
-
(529,159)
-
-",
,"67,922,226",,"475,655",,"7,572,067",,"107,756,919"
,-,,"366,082",,-,,"33,337,423"
,"(48,240)",,-,,"39,018",,-
,"16,887,273",,-,,"12,685,905",,-
,-,,-,,-,,"(1,211,859)"
,-,,-,,"(97,735)",,"(97,735)"
,"(17,028,286)",,"(161,894)",,"(6,468,143)",,"(24,662,315)"
,"(1,790,267)",,-,,-,,"(1,790,267)"
,-,,-,,"87,232",,"87,232"
,"65,942,706","18,502,182","679,843","1,655,136","13,818,344","12,821,187","113,419,398"
,,"18,502,182
-",,"5,541,716
(3,886,580)",,"13,661,048
(839,861)",
,"212,233,891",,"1,288,980",,"40,828,993",,"292,056,810"
,"(146,291,185)",,"(609,137)",,"(27,010,649)",,"(178,637,412)"
,"65,942,706","18,502,182","679,843","1,655,136","13,818,344","12,821,187","113,419,398"
,,"18,502,182
34,776,656
(34,081,765)
-
-
-
-",,"1,655,136
-
431,148
-
(511,872)
-
-",,"12,821,187
-
1,709,148
-
(603,390)
-
-",
,"65,942,706",,"679,843",,"13,818,344",,"113,419,398"
,-,,"150,988",,"406,689",,"35,334,333"
,"19,592,821",,-,,"12,348,648",,-
,-,,"(107,408)",,"(171,764)",,"(279,172)"
,"(18,490,038)",,"(192,303)",,"(9,417,691)",,"(29,215,294)"
,"(2,331,357)",,-,,-,,"(2,331,357)"
,-,,"107,409",,"163,746",,"271,155"
,"64,714,132","19,197,073","638,529","1,574,412","17,147,972","13,926,945","117,199,063"
,,"19,197,073
-",,"5,972,864
(4,398,452)",,"15,370,196
(1,443,251)",
,"231,826,712",,"1,332,560",,"53,412,566",,"327,111,971"
,"(167,112,580)",,"(694,031)",,"(36,264,594)",,"(209,912,908)"
,"64,714,132","19,197,073","638,529","1,574,412","17,147,972","13,926,945","117,199,063"
