Column,Column,"March
2023","March
2022"
"Subsidiaries
One Communications Limited
Instaconnect Limited
Safaricom Money Transfer Services Limited
East Africa Tower Company Limited
Safaricom Foundation*
Flexible Bandwidth Services Limited
Comtec Training and Management Services Limited
Comtec Integration Systems Limited
DigiFarm Kenya Limited
Vodafamily Ethiopia Holding Company Limited
Global Partnership for Ethiopia B.V
Safaricom Telecommunications Ethiopia PLC (STEP)
Associates
The East African Marines Systems Limited (TEAMS)
Circle Gas Limited
Joint venture
M-PESA Africa Limited","Held by
Safaricom PLC
Safaricom PLC
Safaricom PLC
Safaricom PLC
Safaricom PLC
One Communications Limited
One Communications Limited
One Communications Limited
Safaricom PLC
Safaricom PLC
Vodafamily Ethiopia Holding Company
Limited
Global Partnership for Ethiopia B.V
(GPE)
Safaricom PLC
Safaricom PLC
Safaricom PLC",,
,,100%,100%
,,100%,100%
,,100%,100%
,,100%,100%
,,–,–
,,100%,100%
,,100%,100%
,,100%,100%
,,100%,100%
,,90%–1share,90%–1share
,,"61.9%
(Safaricom
indirectly
owns
55.71%)","61.9%
(Safaricom
indirectly
owns
55.71%)"
,,"100 %
(Safaricom
indirectly
owns
55.71%)","100 %
(Safaricom
indirectly
owns
55.71%)"
,,32.5%,32.5%
,,14.648%,14.648%
,,50%,50%
