31 MARCH 2022,Column,Column,Column
"KShs’m KShs’m
At a point KShs’m KShs’m At a point KShs’m KShs’m
in time Over time Total in time Over time Total",,,
–,"83,211.8","83,211.8","– 82,552.0 82,552.0
– 6,175.2 6,175.2
– 13,602.4 13,602.4
– 44,793.2 44,793.2
– 9,507.2 9,507.2
82,647.4 – 82,647.4
– 7,779.2 7,779.2
– 3,295.2 3,295.2"
–,"6,840.6","6,840.6",
–,"10,876.7","10,876.7",
–,"48,441.0","48,441.0",
–,"11,242.5","11,242.5",
"107,691.8",–,"107,691.8",
–,"9,795.3","9,795.3",
–,"3,007.6","3,007.6",
"107,691.8","173,415.5","281,107.3","82,647.4 167,704.4 250,351.8
8,511.7 – 8,511.7
– 1,761.1 1,761.1
– 837.7 837.7"
"12,334.7",–,"12,334.7",
–,"1,999.4","1,999.4",
–,–,–,
"120,026.5","175,414.9","295,441.4","91,159.1 170,303.2 261,462.3"
