"2022 2021
KShs’m KShs’m",Column
218.7,210.5
12.6,13.8
(175.5),"(157.0)
(84.8)"
(27.5),
(203.0),(241.8)
28.3,"(17.5)
(9.3)"
(8.1),
20.2,(26.8)
6.6,"(8.7)
84.4"
(1.6),
5.0,(93.1)
