Condensed Consolidated Statement of Cash Flows,Group,Column,%
KShs ‘000’,31-Mar-17,31-Mar-16,Change
,,"79,203,275
(286,760)
1,341,725
(15,654,767)",
,"101,997,737",,28.8%
,"108,356",,137.8%
,"1,423,076",,6.1%
,"(24,002,031)",,53.3%
,"79,527,138","64,603,473
(33,299,475)
(25,641,874)
(11,478,137)",23.1%
,"(37,726,573)",,13.3%
,"(57,694,216)",,125.0%
,"15,629,159",,236.2%
,"(264,492)","(5,816,013)",(95.5%)
,,"12,036,018
(5,816,013)",
,"6,220,005",,(48.3%)
,"(264,492)",,(95.5%)
,"5,955,513","6,220,005",(4.3%)
