Name,Representing,Nationality,Date of Appointment
Nicholas Nganga,Chairman and Government of Kenya nominee,Kenyan,May 6 2004
Bob Collymore,Managing Director and Chief Executive Officer,British & Kenyan,September 5 2006
Sateesh Kamath,Chief Finance Officer (Alternate to Bob Collymore),Indian,June 30 2016
Henry Rotich,Cabinet Secretary to the National Treasury,Kenyan,November 5 2013
John Otty,Non-Executive Director,British,Resigned on May 8 2018
Michael Joseph,Vodafone Kenya Limited nominee,American & Kenyan,September 8 2008
Susan Mudhune,Non-Executive Director,Kenyan,Retired on August 31 2018
Bitange Ndemo,Independent Director,Kenyan,March 2 2017
Vivek Badrinath,Vodafone Kenya Limited nominee,French,January 12 2017
Esther Koimett,Alternate to Henry Rotich,Kenyan,November 5 2013
Gianluca Ventura,Alternate to Vivek Badrinath,Italian,March 6 2015
Linda Muriuki,Government of Kenya nominee,Kenyan,August 31 2017
Mohamed Josuub,Vodafone Kenya Limited nominee,South African,August 31 2017
Rose Ogega,Independent Director,Kenyan,Appointed on February 12 2019
Till Streichert,Vodafone Kenya Limited nominee,German,May 8 2018
