Details,31 March 2025 (KShs Mn)
"(a) Loss on restatement of profit and loss items (application of CPIs) (15,338.2)
(b) Impact of using closing rate on P&L items 23,939.1
(c) Net monetary position - gain 11,222.3",
"Net IAS 29 Impact on net income 19,823.2",
