GROUP AND COMPANY
"Secondees
Site Collocation Shops Facilities houses Equipment Total
KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m KShs’m"
"(7,330.2) (4,524.1) (971.4) (2,378.3) (20.7) – (15,224.7)
(560.8) (1,160.3) (152.2) (1,075.5) (28.9) (18.2) (2,995.9)
(916.6) (382.5) (123.5) (292.8) (2.0) (0.5) (1,717.9)
1,381.7 1,352.1 337.4 781.7 17.5 4.2 3,874.6
137.2 (178.9) (22.6) 272.9 – – 208.6
(0.7) (214.7) (2.7) – (0.3) – (218.4)"
"(7,289.4) (5,108.4) (935.0) (2,692.0) (34.4) (14.5) (16,073.7)"
"(1,384.0) (1,476.3) (270.6) (968.0) (13.8) (6.8) (4,119.5)
(5,905.4) (3,632.1) (664.4) (1,724.0) (20.6) (7.7) (11,954.2)"
"(7,289.4) (5,108.4) (935.0) (2,692.0) (34.4) (14.5) (16,073.7)"
