Shs Bn,"FY17
Reported","FY17
Normalized**",FY16,"YoY%
Reported","YoY%
Normalized"
,93.46,93.46,90.80,2.9%,2.9%
Messaging revenue,16.68,16.68,17.33,(3.7%),(3.7%)
,29.29,29.29,21.15,38.5%,38.5%
Fixed service revenue,5.24,5.24,3.82,37.4%,37.4%
,55.08,55.08,41.50,32.7%,32.7%
Other service revenue,4.36,4.36,3.18,36.8%,36.8%
Service Revenue,204.11,204.11,177.78,14.8%,14.8%
Handset and other revenue,8.70,8.70,8.62,0.9%,0.9%
,0.08,0.08,9.28,(99.2%),(99.2%)
Total Revenue,212.89,212.89,195.68,8.8%,8.8%
,2.51,0.28,0.23,>100%,20.5%
Direct costs,(66.75),(66.75),(62.31),7.1%,7.1%
,(0.08),(0.08),(9.28),(99.1%),(99.1%)
Contribution Margin,148.57,146.34,124.33,19.5%,17.7%
,69.0%,68.7%,66.6%,2.4ppts,2.1ppts
Operating costs,(44.95),(46.08),(40.99),9.7%,12.4%
,(0.01),(0.01),(0.27),(97.4%),(97.4%)
Operating cost & Fx loss % total revenue*,20.9%,21.6%,22.1%,(1.2%),(0.5%)
EBITDA,103.61,100.25,83.07,24.7%,20.7%
EBITDA Margin %*,48.1%,47.1%,44.5%,3.6ppts,2.5ppts
,(33.23),(33.23),(27.94),18.9%,18.9%
EBIT,70.38,67.02,55.12,27.7%,21.6%
,32.7%,31.5%,29.5%,3.1ppts,1.9ppts
"Net Financing, Forex and Fair Value Losses",0.23,0.23,0.90,(73.9%),(73.9%)
,0.02,0.02,0.10,(82.0%),(82.0%)
Fair Value Loss on Investment property,-,-,(0.37),-,-
,(22.19),(22.19),(17.66),25.7%,25.7%
Net Income,48.44,45.09,38.10,27.1%,18.3%
,22.5%,21.2%,20.4%,2.1ppts,0.7ppts
Earning per share (EPS)***,1.21,1.13,0.95,27.1%,18.3%
Dividend per share (DPS)***,0.97,0.97,0.76,27.5%,27.5%
