Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Other related parties
Vodafone Roaming Services S.à r.l
Vodafone Group Enterprises
M-PESA Holding Co. Limited
Vodacom Tanzania Public Limited Company
Vodacom South Africa Limited
Vodafone US Inc.
Vodafone UK
Vodacom Business (Kenya) Limited
Vodafone Egypt Telecom. S.A.E.
Vodafone Group Services Limited
Vodafone Ghana
Vodafone Qatar Q.S.C.
Vodafone Sverige Ab
Vodacom Group Limited
Vodafone DRC Congo
Vodafone Malta
Vodacom (Pty) Limited
Vodafone Network PTY Limited
Vodafone Sverige AB
Telecel Vodafone S.A.
Vodafone Sales and Services Limited
Joint venture
M-PESA Africa Limited
Subsidiaries
East African Towers Company Limited
One Communications Limited
Instaconnect Limited
Safaricom Money Transfer Services Limited
Safaricom Telecommunication Ethiopia PLC
Global Partnership for Ethiopia B.V
DigiFarm Kenya Limited
Safaricom Foundation
Vodafamily Ethiopia Holding Company Limited",,,,
,11.4,–,11.4,–
,–,45.2,–,44.2
,"1,124.2","1,160.9","1,124.2",990.4
,–,3.1,–,3.1
,–,85.7,–,85.7
,0.9,1.6,0.9,1.6
,–,25.7,–,25.7
,22.8,8.3,5.1,8.3
,16.4,8.6,16.4,8.6
,61.7,1.2,61.7,1.2
,0.4,0.4,0.4,0.4
,0.1,–,0.1,–
,–,0.1,–,0.1
,111.4,37.0,111.4,37.0
,0.3,0.3,0.3,0.3
,0.1,–,0.1,–
,37.2,–,37.2,–
,0.2,–,0.2,–
,0.2,–,0.2,–
,–,1.5,–,1.5
,55.6,–,55.6,–
,156.4,421.6,156.4,421.6
,–,–,16.0,16.0
,–,–,3.2,–
,–,–,90.1,90.1
,–,–,38.1,93.4
,–,–,"1,486.9",725.7
,–,–,–,124.6
,–,–,"1,363.1","1,153.0"
,–,–,1.5,0.9
,–,–,–,1.3
,"1,599.3","1,801.2","4,580.5","3,834.7"
