Column,31 March 2023,Column,Column,31 March 2022,Column,Column
,"KShs’m
At a point
in time","KShs’m
Over time","KShs’m
Total","KShs’m
At a point
in time","KShs’m
Over time","KShs’m
Total"
"M-PESA revenue
Voice revenue
Mobile data revenue
Fixed data revenue
Messaging revenue
Interconnect revenue
Mobile incoming
Other services revenues*","117,192.2",–,"117,192.2","107,691.8",–,"107,691.8"
,–,"81,053.9","81,053.9",–,"83,211.8","83,211.8"
,–,"53,952.4","53,952.4",–,"48,441.0","48,441.0"
,–,"13,458.0","13,458.0",–,"11,242.5","11,242.5"
,–,"11,375.6","11,375.6",–,"10,876.7","10,876.7"
,–,"5,303.5","5,303.5",–,"6,840.6","6,840.6"
,–,"2,805.9","2,805.9",–,"3,007.6","3,007.6"
,–,"10,550.8","10,550.8",–,"9,795.3","9,795.3"
"Service revenue
Handset revenue
Connection revenue","117,192.2","178,500.1","295,692.3","107,691.8","173,415.5","281,107.3"
,"10,468.9",–,"10,468.9","12,334.7",–,"12,334.7"
,–,980.9,980.9,–,"1,999.4","1,999.4"
Total revenue,"127,661.1","179,481.0","307,142.1","120,026.5","175,414.9","295,441.4"
