Column,FY23,Column
"Voice revenue*
Messaging revenue*
Mobile data revenue*
M-PESA revenue
Mobile incoming revenue*
Other mobile service revenue*","81,053.9","83,211.8 82,552.0 86,529.9 87,683.7
10,876.7 13,602.4 15,403.5 17,865.3
48,441.0 44,793.2 40,157.5 35,868.4
107,691.8 82,647.4 84,438.0 74,989.8
9,848.2 9,470.4 8,481.8 8,525.3
9,795.3 7,779.2 7,236.5 6,733.5"
,"11,375.6",
,"53,952.4",
,"117,192.2",
,"8,109.5",
,"10,550.8",
"Mobile service revenue
Fixed line and wholesale transit revenue","282,234.4","269,864.8 240,844.6 242,247.2 231,666.0
11,242.5 9,507.2 8,966.9 8,101.0"
,"13,457.9",
"Service revenue
Handset revenue and other revenue
Construction revenue
Other income","295,692.3","281,107.3 250,351.8 251,214.1 239,767.0
14,334.0 12,316.5 10,487.8 9,448.0
– 837.7 583.9 603.2
2,636.6 520.5 269.9 464.3"
,"11,449.8",
,–,
,"3,762.7",
"Total revenue
Direct costs
Provision for expected credit loss (ECL) on receivables
Construction costs","310,904.8","298,077.9 264,026.5 262,555.7 250,282.5
(91,467.8) (80,015.1) (74,701.0) (71,795.6)
(2,361.2) (3,009.7) (1,669.6) 9.6
– (837.7) (583.9) (603.2)"
,"(92,232.1)",
,"(4,725.3)",
,–,
"Contribution margin
Total operating costs","213,947.4","204,248.9 180,164.0 185,601.2 177,893.3
(55,187.0) (46,034.8) (47,559.6) (53,590.4)"
,"(74,085.0)",
"Earnings before interest, tax, depreciation and amortisation
(EBITDA)
Depreciation, impairment and amortisation","139,862.4","149,061.9 134,129.2 138,041.6 124,302.9
(39,933.3) (37,964.3) (36,547.7) (35,332.0)"
,"(54,865.0)",
"Earnings before interest and tax (EBIT)
Net finance income
Share of associate and Joint Venture profit/(loss)
Fair value adjustment to investment properties
Hyperinflationary monetary gain","84,997.4","109,128.6 96,164.9 101,493.8 88,970.9
(6,439.2) (2,022.4) 922.2 2,240.20
(476.0) (507.0) 3,357.0 5.5
– – – –
– – – –"
,"(7,087.1)",
,(38.2),
,90.0,
,"10,383.1",
"Profit before income tax
Income tax expense","88,345.2","102,213.4 93,635.5 105,773.0 91,216.6
(34,717.3) (24,959.3) (32,115.1) (28,727.3)"
,"(35,862.4)",
Profit after tax,"52,482.8","67,496.1 68,676.2 73,657.9 62,489.3"
"Attributable to:
Equity holders of the parent
Non-controlling interests",,"69,648.1 68,676.2 73,657.9 62,489.3
(2,152.0) – – –"
,"62,268.9",
,"(9,786.1)",
Profit for the year,"52,482.8","67,496.1 68,676.2 73,657.9 62,489.3"
Basic and diluted earnings per share (EPS)**,1.55,1.74 1.71 1.84 1.56
"Profit for the year
Other comprehensive income/(loss):
Exchange differences on translating foreign operations","52,482.8","67,496.1 68,676.2 73,657.9 62,489.3
(9,536.3) – – –"
,"10,260.0",
Total comprehensive income for the year,"62,742.8","57,959.8 68,676.2 73,657.9 62,489.3"
"Total comprehensive income for the year
Equity holders of the parent
Non-controlling interests",,"64,335.4 – – –
(6,375.6) – – –"
,"34,954.0",
,"27,788.8",
Total comprehensive income for year,"62,742.8","57,959.8 68,676.2 73,657.9 62,489.3"
Free cash flow,"23,853.0","63,669.7 64,515.6 70,273.4 43,515.0"
"Ordinary dividend (paid/proposed) (KShs’m)
Ordinary dividend per share (KShs)","48,078.4","55,691.0 58,896.2 56,091.6 50,082.0
1.39 1.37 1.40 1.25"
,1.20,
"Special dividend (paid/proposed) (KShs’m)
Special dividend per share (KShs)",–,"– – – 24,841.0
– – – 0.62"
,–,
