Mr. Nicholas Nganga,Chairman and Non-executive member
Mr. Robert Collymore,Executive member
Mr. Michael Joseph,Non-executive member
Mrs. Esther Koimet,Non-executive member
Mrs. Susan Mudhune,Non-executive member
