HY24,HY23,% Change
44.12,43.17,2.2%
593.32,565.51,4.9%
33.27,32.47,2.5%
785.76,738.82,6.4%
34.49%,36.37%,1.9ppt
25.73,26.71,(3.7%)
250.10,241.52,3.6%
"259,730","262,978",(1.2%)
"658,351","538,504",22.3%
32.13,31.17,3.1%
344.05,307.06,12.0%
28.94,22.45,28.9%
18.28,18.09,1.1%
12.93,9.60,34.7%
26.09,25.20,3.5%
18.84,16.58,13.6%
21.34,18.30,16.6%
9.16,8.43,8.7%
"3,753","3,360",11.7%
231.94,230.15,0.8%
20.82,21.25,(2.0%)
45.85,41.41,10.7%
"223,191","173,239",28.8%
"2,248","2,320",(3.1%)
61.4%,54.8%,6.6ppt
"54,745","54,547",0.4%
"29,013","32,807",(11.6%)
"11,032","12,011",(8.2%)
"3,286","3,668",(10.4%)
"6,456","6,203",4.1%
"6,453","6,190",4.2%
"6,388","6,088",4.9%
