"2016
Shs’000",Column
-,
-,"490,762"
,"5,662,218
4,487,000"
-,
-,
-,"10,149,218"
-,"10,639,980"
,"12,615,380
5,914,152
(7,889,552)"
"10,639,980",
"8,696,700",
"(19,336,680)",
-,"10,639,980"
