What we do,Measuring our actions,Setting our targets
,"• Air quality monitoring innovation using IoT
• Energy efficiency on our sites suing IoT technology
• Partnership with Vodafone, WWF and KWS that uses solar-powered
AI technology to prevent human-wildlife conflict by detecting and
deterring wild animals in human settlements
• Tree growing app to track our tree growing project
• 30,000 sites equipped with AVA energy-efficient software","• Leverage on technology
to reduce our impact on
environment and protect
biodiversity"
,"• 98% recycling rate
• A total of 290.438 tons of network waste recycled/refurbished with the
business earning KShs 25,660,252 from this disposal
• Expanded scope of sustainable waste management to 61 facilities outside
Nairobi to a total of 73
• 1,950 tonnes of e-waste recycled
• Signed a collaboration framework with WEEE centre to manage e-waste
• 77,960 eSIM users
• 1.2 tonnes of SIM cards recycled
• 50% reduction in SIM card size","• Recycle/repurpose 100% of
solid waste
• 20% YoY growth in mobile
handset collection and
recycling
• Recycle, reuse or resale of
100% of network waste
• 100% elimination of single-
use plastics"
,"• CAVEX: working with partners to advance commitment to buy carbon
credits and remittance via M-PESA
• Successful integration of M-PESA in Mr Green Africa plastic collection and
recycling program green point system to catalyse proper plastic disposal,
10,000 users on-boarded and KShs 100,000 redeemed in M-PESA value
• School regreening programme launched
• 10,000 tree seedlings donated towards Safari Rally initiative
• Engaged in thought-leadership forums by KEPSA, WWF, EIK and Taka ni
Mali to share expertise on embedding circularity","• Digitisation of products and
processes.
• Tree-growing in communities
and schools, with a target
of 1,000,000 fruit trees
at schools
• Thought leadership and
advocacy"
,"• 1.5 million trees grown to date in five sites across the country, restoring
1,500 ha of degraded public forests
• 2,914 Community Forest Association (CFA) members engaged, impacting
14,570 livelihoods
• Signed a collaboration framework with the Kenya Forest Service (KFS)","• Adopt a forest collaboration
framework with KFS to grow:
• 5 million trees in
degraded forests"
,"• 1,432 sites operating on solar energy
• 23% solar energy mix","• Expand solar deployment to
all 5,000 sites"
,"• 32.9% Scope 1 and 2 emissions reduced since 2017
• Improved CDP score from B to A-","• Reduce Scope 1 and 2
emissions by:
• 43% by 2030
• 74% by 2050
• Reduce Scope 3 emissions by:
• 41% by 2030
• 72% by 2050
• CDP score of A"
