"SEACOM
KShs’m","KPLC*
KShs’m","TEAMS**
KShs’m","Total
KShs’m"
536.5,286.7,"1,459.8","2,283.0"
(76.7),(41.9),(162.7),(281.3)
459.8,244.8,"1,297.1","2,001.7"
"1,535.0",838.4,"3,252.8","5,626.2"
"(1,075.2)",(593.6),"(1,955.7)","(3,624.5)"
459.8,244.8,"1,297.1","2,001.7"
"613.2
(76.7)","328.6
(41.9)","1,622.5
(162.7)",
536.5,286.7,"1,459.8",
"1,535.0
(998.5)","838.4
(551.7)","3,252.9
(1,793.1)",
536.5,286.7,"1,459.8",
