"Safaricom
Kenya**","Safaricom
Ethiopia","Safaricom
Plc Group","Safaricom
Kenya %YoY","Safaricom Plc
Group %YoY"
"281,107.3",-,"281,107.3",12.3%,12.3%
"298,077.9",-,"298,077.9",12.9%,12.9%
"204,248.9",-,"204,248.9",13.4%,13.4%
68.5%,0.0%,68.5%,0.0ppt,0.0ppt
"(50,077.8)","(5,109.2)","(55,187.0)",8.8%,19.9%
16.8%,0.0%,18.5%,(0.7ppt),1.0ppt
"154,171.1","(5,109.2)","149,061.9",14.9%,11.1%
51.7%,0.0%,50.0%,0.7ppt,(1.0ppt)
"(39,919.0)",(14.3),"(39,933.3)",5.1%,5.2%
"114,252.1","(5,123.5)","109,128.6",18.8%,13.5%
38.3%,0.0%,36.6%,1.8ppt,0.1ppt
"(6,703.9)",264.7,"(6,439.2)",>100.0%,>100.0%
(476.0),-,(476.0),(6.1%),(6.1%)
"107,072.2","(4,858.8)","102,213.4",14.4%,9.2%
"(34,717.3)",-,"(34,717.3)",39.1%,39.1%
"72,354.9","(4,858.8)","67,496.1",5.4%,(1.7%)
