"Number
of shareholders",Number of shares,"%
Shareholding"
"370,747","222,439,434",0.56%
"176,142","502,618,487",1.25%
"19,804","496,213,088",1.24%
"1,727","474,590,440",1.18%
498,"1,747,446,242",4.36%
175,"4,577,517,299",11.43%
8,"2,022,030,430",5.05%
2,"30,022,572,580",74.93%
"569,103","40,065,428,000",100.00%
