Board Member,Position,"8 May
2018","30 Aug
2018","31 Aug
2019
(AGM)","1 Nov
2018","9 Jan
2019","31 Jan
2019","12 Feb
2019"
Nicholas Nganga,Chairman,√,√,√,√,√,√,√
"Robert William
Collymore","Chief Executive
Officer - Alternate
is Mr Sateesh
Kamath",-,√,√,-,√,√,√
Susan Mudhune *,,√,√,√,-,-,-,-
Michael Joseph,,√,√,√,√,√,√,√
Linda Watiri Muriuki,,√,√,√,√,√,√,√
Henry Rotich,"Alternate is Mrs
Esther Jepkemoi
Koimett",√,-,-,-,-,√,√
Vivek Badrinath,"Alternate is
Francesco Bianco",√,√,-,√,-,√,√
Bitange Ndemo,,√,√,√,√,√,√,√
Mohamed Joosub,,√,√,√,√,√,-,√
Till Streichert,,√,√,√,√,-,√,√
Kathryne Maundu,"Company
Secretary",√,√,√,√,√,√,√
