Shs Bn,FY 18,FY 17,YoY
Trading cash flow (EBITDA),112.83,103.61,8.9%
Net Working capital changes,4.49,(1.27),>100
Capital Additions,(36.40),(35.33),3.0%
Operating free cash flow,80.92,67.01,20.8%
Interest received / (paid),0.75,0.50,50.0%
Taxation received / (paid),(26.28),(24.00),9.5%
Free cash flow,55.39,43.51,27.3%
