Column,"Current
KShs’m","Non-current
KShs’m","Total
KShs’m"
"Year ended 31 March 2023
Opening balance
Additions
Interest charge
Payments
Termination and revisions
Forex revaluation
Translation reserves",,,
,"5,508.4","14,584.9","20,093.3"
,"2,844.2","13,927.2","16,771.4"
,"2,875.9",–,"2,875.9"
,"(10,117.6)",–,"(10,117.6)"
,"4,274.7",–,"4,274.7"
,–,731.1,731.1
,(30.7),740.8,710.1
Closing balance,"5,354.9","29,984.0","35,338.9"
"Year ended 31 March 2022
Opening balance
Additions
Interest charge
Payments
Termination and revisions
Forex revaluation
Translation reserves","4,119.5
3,535.3
1,802.9
(5,154.3)
1,204.8
–
0.3","11,954.2
2,443.1
–
–
–
184.7
2.9","16,073.7
5,978.4
1,802.9
(5,154.3)
1,204.8
184.7
3.2"
Closing balance,"5,508.5","14,584.9","20,093.4"
