"0–30 days 31–90 days Over 91 days Total
KShs’m KShs’m KShs’m KShs’m"
"10,517.3 2,143.5 5,516.5 18,177.3
7.073% 32.044% 96.059% –"
"743.9 686.9 5,299.1 6,729.9"
