FY21,FY20,% Change
"82,552.0","86,529.9",(4.6%)
"13,602.4","15,403.5",(11.7%)
"44,793.2","40,157.5",11.5%
"82,647.4","84,438.0",(2.1%)
"9,470.4","8,481.8",11.7%
"7,779.2","7,236.5",7.5%
"240,844.6","242,247.2",(0.6%)
"9,507.2","8,966.9",6.0%
"250,351.8","251,214.1",(0.3%)
"12,316.5","10,487.8",17.4%
837.7,583.9,43.5%
520.5,269.9,92.8%
"264,026.5","262,555.7",0.6%
"(80,015.1)","(74,701.0)",7.1%
"(3,009.7)","(1,669.6)",80.3%
(837.7),(583.9),43.5%
"180,164.0","185,601.2",(2.9%)
68.5%,70.8%,(2.3ppt)
"(46,034.8)","(47,559.7)",(3.2%)
17.5%,18.2%,(0.7ppt)
"134,129.2","138,041.5",(2.8%)
51.0%,52.7%,(1.7ppt)
"(37,964.3)","(36,547.7)",3.9%
"96,164.9","101,493.8",(5.3%)
36.5%,38.7%,(2.2ppt)
"(2,022.4)",922.2,<(100.0%)
(507.0),"3,357.0",<(100.0%)
"93,635.5","105,773.0",(11.5%)
"(24,959.3)","(32,115.1)",(22.3%)
"68,676.2","73,657.9",(6.8%)
0.0,0.0,0.0%
"68,676.2","73,657.9",(6.8%)
26.1%,28.1%,(2.0ppt)
1.71,1.84,(6.8%)
