"Anti-corruption corrective
measures",FY13,FY14,FY15
Fraud cases investigated,49,89,29
Outcomes of investigations:,,,
Disciplinary warnings,8,16,13
Dismissals,55,56,58
"Cases reported to law
enforcement agencies",28,7,4
