Risk,Mitigation Strategy
Strategic Risks,
"Adverse Regulations
The Regulatory environment that Safaricom operates in is
increasingly becoming complex and it continues to be one of the
key areas of focus.
The nature of products and services that we provide requires that
we comply with a wide range of laws and regulations from our
regulators.","While we comply with all laws and regulations, we continue to
build constructive relationships with the regulators as well as
contribute to discussions on emerging legislation and regulations
as we prepare to comply with the same.
Our products and services are carefully and continuously
monitored to ensure they do not contravene any regulations."
"Economic Growth Prospects
Kenya has continued to experience challenges from a volatile
currency, increased inflation and a reduction of FOREX earnings.
The prolonged electioneering period in 2017 also caused
uncertainty among investors thereby shying away from local
investment opportunities.
Other factors such as crippling drought, floods and the regulatory
cap on lending rates also contributed to a reduction in consumer’s
purchasing power.","We continue to proactively monitor and mitigate these challenges
to cushion both our business and customers."
"Market Disruption
The industry has become increasingly competitive in terms of
product and service offerings. We face increased competition from
a variety of new technology providers, disruptive technologies,
changing customer preferences and new players in the market.","Our strategies to manage market disruption focus on growing
and retaining our customers by offering quality services as well as
and leveraging on strategic partnerships within different sectors
to ensure we provide our customers with relevant products and
services and customer experience.
We continue to be innovative and adopt an agile operating model
to be able to respond rapidly to the ever changing customer
needs."
