Column,"2023
KShs’m","2022
KShs’m"
"Opening carrying amount
Additions – cost
Derecognition – cost
Derecognition – amortisation
Amortisation charge","11,349.6","8,471.5"
,"5,143.0","4,728.1"
,"(1,673.8)","(5,077.6)"
,"1,673.8","5,077.6"
,"(2,329.6)","(1,850.0)"
Closing carrying amount,"14,163.0","11,349.6"
"Cost
Accumulated amortisation","26,157.8","22,688.6"
,"(11,994.8)","(11,339.0)"
Carrying amount,"14,163.0","11,349.6"
