"Shs Bn
HY 18","HY 17
Reported","HY 17
Normalized*","YoY%
Reported","YoY%
Normalized"
Contribution margin 79.11,71.80,69.57,10.2%,13.7%
Operating costs (24.76),(21.00),(22.12),17.9%,11.9%
,0.01,0.01,(900.0%),(900.0%)
EBITDA 54.27,50.81,47.46,6.8%,14.4%
,(16.35),(16.35),2.4%,2.4%
EBIT 37.53,34.46,31.11,8.9%,20.6%
,0.02,0.02,1294.6%,1294.6%
Share of associate profit/(loss) 0.01,"0.01
H",0.01,(43.6%),(43.6%)
,(10.56),(9.55),10.0%,21.5%
Net Income 26.20,23.93,21.58,9.5%,21.4%
Operating costs,,,,
,(0.12),(0.12),(1.1)%,(1.1%)
Operating lease rentals'- Buildings (0.54),(0.44),(0.44),24.0%,24.0%
,(1.03),(1.03),14.7%,14.7%
Warehousing costs (0.16),(0.15),(0.15),5.8%,5.8%
,(6.59),(6.59),13.9%,13.9%
Auditor’s remuneration (0.03),(0.03),(0.03),1.8%,1.8%
,(3.29),(3.29),1.2%,1.2%
Consultancy (0.83),(0.44),(0.44),86.5%,86.5%
,(6.57),(6.57),(2.0%),(2.0%)
Travel and accommodation (0.35),(0.37),(0.37),(4.2%),(4.2%)
,(0.91),(0.91),21.4%,21.4%
Office upkeep (0.59),(0.47),(0.47),24.9%,24.9%
,(0.76),(1.88),156.6%,(3.5%)
Bad Debts (0.64),0.17,0.17,(468.1%),(468.1%)
Total (24.76) (21.00) (22.12) 17.9% 11.9%,,,,
