FY21,FY20,% Change
(32.7),(48.8),(33.0%)
(55.4),(55.6),(0.4%)
"(2,572.4)","(2,092.7)",22.9%
"(1,197.9)","(1,431.4)",(16.3%)
"(18,188.1)","(16,937.5)",7.4%
(610.7),172.3,<(100.0%)
(481.7),"(1,020.5)",(52.8%)
"(3,901.9)","(5,189.6)",(24.8%)
(323.2),(334.1),(3.3%)
"(4,083.3)","(5,792.4)",(29.5%)
(604.4),(345.1),75.1%
"(13,163.4)","(13,408.2)",(1.8%)
(457.6),(751.4),(39.1%)
(362.1),(324.7),11.5%
"(46,034.8)","(47,559.7)",(3.2%)
