"2015
Shs’000","2014
Shs’000
1,494,836
387,522"
"1,073,091",
"274,629",
"1,347,720","1,882,358"
,"(1,140,069)
(555,343)"
"(1,292,085)",
"(480,504)",
"(1,772,589)","(1,695,412)"
"(424,869)","186,945"
