Gender Ratio,2016,2015
Male: Female,"50% Male
50% Female","51% Male
49% Female"
"Male: Female
(Senior Leadership
Team)","57% Male
42% Female","64% Male
36% Female"
"Male: Female
(Head of
Departments:HOD)","67% Male
32% Female","64% Male
36% Female"
"Male: Female
(HOD and Senior
Managers)","66% Male
34% Female","63% Male
37% Female"
