ETHICS,POSITION,27 JUNE 2013,1 NOV 2013
Robert Collymore,CEO and Chairman,,
John Tombleson,CFO,,
Nicholas Mulila,"Director, Risk Management",,
Nzioka Waita,"Director, Corporate Affairs",,
Joseph Ogutu,"Director, Strategy and
Innovation",,-
Roy Masamba,"Director, Resources","Nominated onto Ethics
Committee on 27 June 2013",
Patrick Kinoti,HOD Ethics and Compliance,,
