Column,"2023
KShs’m","2022
KShs’m","2023
KShs’m","2022
KShs’m"
"Other related parties
Vodafone Sales and Services Limited
Vodafone Roaming Services S.à r.l
Vodacom Tanzania Public Limited Company
Vodacom South Africa Limited
Vodafone Group Services Limited
Vodafone UK
Vodafone Sverige AB
Vodafone Qatar Q.S.C.
Vodafone Egypt Telecom. S.A.E.
Vodacom Business (Kenya) Limited
MTC Vodafone Bahrain
M-PESA Holding Co. Limited
Vodacom Mocambique S.A.
Vodafone Network (Pty) Limited
Vodafone Malta
Vodacom Mobile Services Limited
Vodafone Services LLC Oman
Vodafone Hungary Limited
Vodafone Telekomunikasyon A.S
Vodafone-Panafon Hellenic Tel.Co
Vodafone Innovus S.A.
Vodacom Group Limited
Sumitomo Corporation Group
Vodacom Proprietary Limited
CDC Group
Vodafone Ghana Limited
Vodacom Lesotho Proprietary Limited
Vodacom International Limited
Vodacom Service Provider Company (Pty) Ltd
Vodacom Congo (RDC) S.A.
Sendy Limited
Vodacom Pty Limited South Africa
Joint ventures
M-PESA Africa Limited
Subsidiaries
One Communications Limited
Safaricom Money Transfer Services Limited
DigiFarm Kenya Limited
Comtec Integrated Services Limited
Safaricom Telecommunication Ethiopia PLC",,,,
,163.1,151.6,163.1,151.6
,–,28.5,–,28.5
,63.0,29.8,13.4,29.8
,–,3.1,–,3.1
,385.1,–,–,–
,44.7,535.2,44.7,40.9
,–,0.3,–,0.3
,3.4,7.9,3.4,7.9
,–,0.3,–,0.3
,16.7,18.8,–,–
,0.1,–,0.1,–
,3.3,–,–,–
,68.1,0.1,–,0.1
,0.2,1.1,0.2,1.1
,–,0.2,–,0.2
,–,0.1,–,0.1
,–,0.2,–,0.2
,–,1.2,–,1.2
,–,1.3,–,1.3
,–,3.0,–,3.0
,–,17.7,–,17.7
,219.1,652.9,–,–
,506.2,179.0,–,–
,188.8,–,–,–
,–,7.8,–,–
,29.4,–,–,–
,18.6,–,–,–
,259.9,–,–,–
,4.9,–,4.9,–
,44.5,–,–,–
,3.1,–,3.1,–
,37.2,–,37.2,–
,245.3,38.4,245.3,38.4
,–,–,299.0,299.0
,–,–,–,1.9
,–,–,1.1,–
,–,–,–,4.3
,–,–,1.8,–
,"2,304.7","1,678.5",817.3,630.9
