Shs Bn FY 18,"FY 17
Reported","FY 17
Normalized**","YoY%
Reported","YoY%
Normalized"
,148.54,146.31,10.1%,11.7%
Operating costs (50.61),(44.92),(46.04),12.7%,9.9%
,(0.01),(0.01),>100,>100
EBITDA 112.83,103.61,100.25,8.9%,12.5%
,(33.23),(33.23),1.0%,1.0%
EBIT 79.27,70.38,67.02,12.6%,18.3%
,0.23,0.23,>100,>100
Share of associate profit/(loss) 0.01,0.02,0.02,(50.0%),(50.0%)
,(22.19),(21.16),11.0%,16.3%
Net Income 55.29,48.44,46.11,14.1%,19.9%
Operating costs,,,,
,(0.30),(0.30),(6.7%),(6.7%)
Operating lease rentals'- Buildings (1.12),(0.96),(0.96),16.7%,16.7%
,(2.18),(2.18),14.7%,14.7%
Warehousing costs (0.32),(0.32),(0.32),0.0%,0.0%
,(13.72),(13.72),10.4%,10.4%
Auditor’s remuneration (0.05),(0.04),(0.04),25.0%,25.0%
,(6.26),(6.26),15.3%,15.3%
Consultancy (1.52),(2.16),(2.16),(29.6%),(29.6%)
,(12.53),(12.53),11.1%,11.1%
Travel and accommodation (0.79),(0.76),(0.76),3.9%,3.9%
,(1.84),(1.84),22.3%,22.3%
Office upkeep (1.35),(1.10),(1.10),22.7%,22.7%
,(2.75),(3.87),50.5%,7.0%
Total (50.61),(44.92),(46.04),12.7%,9.9%
